AeroDyn airfoil file Created with QBlade v0.963 64bit on 12.03.2022 at 14:34:59 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.30          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.42          Angle of attack for zero Cn for linear Cn curve (deg)
5.65895        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4929        Cn at stall value for positive angle of attack for linear Cn curve
-0.5328        Cn at stall value for negative angle of attack for linear Cn curve
-3.40          Angle of attack for minimum CD (deg)
0.0002         Minimum CD value
     18.20    1.3432    0.0887
     18.25    1.3414    0.0900
     18.30    1.3395    0.0913
     18.35    1.3370    0.0928
     18.40    1.3346    0.0941
     19.15    1.2904    0.1140
     19.20    1.2888    0.1151
     19.25    1.2872    0.1162
     19.30    1.2858    0.1173
     19.35    1.2837    0.1186
     19.40    1.2814    0.1198
     19.45    1.2796    0.1210
     19.50    1.2781    0.1222
     19.55    1.2767    0.1232
     19.60    1.2754    0.1243
     19.65    1.2741    0.1254
     19.70    1.2726    0.1265
     19.75    1.2704    0.1278
     19.80    1.2683    0.1291
     19.85    1.2666    0.1302
     19.90    1.2651    0.1314
     19.95    1.2636    0.1325
     20.00    1.2622    0.1336
     21.00    1.2322    0.1696
     22.00    1.2076    0.1940
     23.00    1.1886    0.2192
     24.00    1.1749    0.2449
     25.00    1.1660    0.2711
     26.00    1.1613    0.2977
     27.00    1.1601    0.3248
     28.00    1.1618    0.3523
     29.00    1.1660    0.3801
     30.00    1.1720    0.4083
     31.00    1.1796    0.4369
     32.00    1.1883    0.4657
     33.00    1.1979    0.4949
     34.00    1.2079    0.5244
     35.00    1.2182    0.5542
     36.00    1.2286    0.5842
     37.00    1.2389    0.6144
     38.00    1.2489    0.6449
     39.00    1.2585    0.6755
     40.00    1.2676    0.7063
     41.00    1.2760    0.7372
     42.00    1.2837    0.7683
     43.00    1.2905    0.7994
     44.00    1.2964    0.8305
     45.00    1.3014    0.8616
     46.00    1.3053    0.8927
     47.00    1.3081    0.9237
     48.00    1.3097    0.9547
     49.00    1.3102    0.9854
     50.00    1.3094    1.0161
     51.00    1.3074    1.0465
     52.00    1.3041    1.0767
     53.00    1.2994    1.1066
     54.00    1.2935    1.1363
     55.00    1.2861    1.1655
     56.00    1.2774    1.1944
     57.00    1.2673    1.2229
     58.00    1.2558    1.2510
     59.00    1.2429    1.2786
     60.00    1.2286    1.3056
     61.00    1.2128    1.3322
     62.00    1.1957    1.3581
     63.00    1.1772    1.3835
     64.00    1.1573    1.4082
     65.00    1.1360    1.4323
     66.00    1.1133    1.4557
     67.00    1.0893    1.4783
     68.00    1.0639    1.5002
     69.00    1.0373    1.5213
     70.00    1.0093    1.5417
     71.00    0.9801    1.5612
     72.00    0.9497    1.5798
     73.00    0.9180    1.5976
     74.00    0.8852    1.6145
     75.00    0.8512    1.6305
     76.00    0.8162    1.6455
     77.00    0.7801    1.6596
     78.00    0.7429    1.6727
     79.00    0.7048    1.6848
     80.00    0.6657    1.6960
     81.00    0.6258    1.7061
     82.00    0.5850    1.7152
     83.00    0.5435    1.7232
     84.00    0.5012    1.7302
     85.00    0.4582    1.7362
     86.00    0.4146    1.7411
     87.00    0.3705    1.7449
     88.00    0.3258    1.7476
     89.00    0.2807    1.7493
     90.00    0.2352    1.7499
     91.00    0.1893    1.7494
     92.00    0.1432    1.7479
     93.00    0.0969    1.7452
     94.00    0.0505    1.7415
     95.00    0.0040    1.7367
     96.00   -0.0426    1.7309
     97.00   -0.0890    1.7240
     98.00   -0.1354    1.7160
     99.00   -0.1816    1.7071
    100.00   -0.2275    1.6971
    101.00   -0.2731    1.6861
    102.00   -0.3183    1.6740
    103.00   -0.3630    1.6611
    104.00   -0.4073    1.6471
    105.00   -0.4509    1.6322
    106.00   -0.4940    1.6163
    107.00   -0.5363    1.5996
    108.00   -0.5778    1.5820
    109.00   -0.6185    1.5635
    110.00   -0.6583    1.5441
    111.00   -0.6972    1.5240
    112.00   -0.7351    1.5030
    113.00   -0.7719    1.4813
    114.00   -0.8076    1.4588
    115.00   -0.8421    1.4356
    116.00   -0.8754    1.4118
    117.00   -0.9074    1.3872
    118.00   -0.9381    1.3621
    119.00   -0.9674    1.3364
    120.00   -0.9954    1.3101
    121.00   -1.0219    1.2832
    122.00   -1.0469    1.2559
    123.00   -1.0704    1.2281
    124.00   -1.0923    1.1999
    125.00   -1.1127    1.1714
    126.00   -1.1315    1.1424
    127.00   -1.1547    1.1131
    128.00   -1.1702    1.0836
    129.00   -1.1841    1.0538
    130.00   -1.1963    1.0238
    131.00   -1.2068    0.9936
    132.00   -1.2156    0.9633
    133.00   -1.2227    0.9329
    134.00   -1.2281    0.9024
    135.00   -1.2318    0.8719
    136.00   -1.2337    0.8414
    137.00   -1.2340    0.8110
    138.00   -1.2326    0.7806
    139.00   -1.2295    0.7504
    140.00   -1.2247    0.7204
    141.00   -1.2183    0.6905
    142.00   -1.2103    0.6609
    143.00   -1.2007    0.6315
    144.00   -1.1895    0.6025
    145.00   -1.1768    0.5738
    146.00   -1.1626    0.5455
    147.00   -1.1470    0.5176
    148.00   -1.1299    0.4901
    149.00   -1.1114    0.4631
    150.00   -1.0916    0.4367
    151.00   -1.0706    0.4107
    152.00   -1.0482    0.3854
    153.00   -1.0248    0.3606
    154.00   -1.0001    0.3365
    155.00   -0.9744    0.3131
    156.00   -0.9477    0.2903
    157.00   -0.9201    0.2683
    158.00   -0.8916    0.2470
    159.00   -0.8622    0.2264
    160.00   -0.8321    0.2067
    161.00   -0.8013    0.1878
    162.00   -0.7698    0.1697
    163.00   -0.7378    0.1525
    164.00   -0.7053    0.1361
    165.00   -0.6724    0.1207
    166.00   -0.6391    0.1062
    167.00   -0.6055    0.0926
    168.00   -0.5717    0.0799
    169.00   -0.5376    0.0682
    170.00   -0.5034    0.0575
    171.00   -0.4689    0.0478
    172.00   -0.4343    0.0391
    173.00   -0.3995    0.0313
    174.00   -0.3644    0.0246
    175.00   -0.3288    0.0189
    176.00   -0.2925    0.0143
    177.00   -0.2551    0.0107
    178.00   -0.2162    0.0081
    179.00   -0.1750    0.0065
    180.00   -0.1307    0.0060
    180.00   -0.1307    0.0060
